pgc,al2000,de2000,ring
4220433,9.9934553,6.7747319,R
4531266,7.6884842,34.2299361,R
4573496,9.3680527,18.7931564,R
30444,10.3925407,18.1113991,R
30610,10.428694,39.6463971,R
30663,10.4419327,12.5332519,R
30696,10.4474075,11.6659903,R
30725,10.4522871,51.9724652,R
30763,10.4590729,16.9526044,R
30794,10.466556,43.6245181,R
30879,10.4862806,41.0145474,R
30964,10.5031755,47.1546433,R
30974,10.5055396,8.0611026,R
30979,10.5058196,15.1921127,R
31087,10.5310221,7.9695421,R
31169,10.5500929,42.9284073,R
31200,10.5567206,50.6963074,R
31214,10.5589638,41.7666381,R
31257,10.5690563,60.0311769,R
31337,10.5859429,25.0381033,R
31472,10.6106743,14.1712429,R
31489,10.6139225,-1.6479259,R
31497,10.6155649,21.8821114,R
31507,10.6168537,28.8322457,R
31548,10.6222943,17.0310953,R
31556,10.6251858,27.3364597,R
31658,10.6477018,5.670065,R
31679,10.6564919,39.0806223,R
31847,10.6928134,-2.0842937,R
31856,10.6956513,40.0414792,R
31887,10.7030719,23.7467512,R
31899,10.7065693,28.0245954,R
31912,10.7079043,55.1822257,R
32035,10.7397181,30.7247961,R
32084,10.7507837,43.7047312,R
32111,10.7584523,17.61963,R
32127,10.7638375,27.6197742,R
32188,10.7784737,25.9315982,R
32192,10.7793605,11.8199234,R
32208,10.7849147,30.0531267,R
32220,10.7857102,-2.3588779,R
32227,10.7885939,17.6118085,R
32238,10.7942989,38.9526621,R
32287,10.8033803,28.6018052,R
32330,10.8130042,26.7700215,R
32342,10.8146972,48.0541258,R
